"NO","X","Y","Year"
"359","'-42.964","'-22.425","1960"
"360","166.89","'-22.34","1939"
"361","'-42.53","'-22.29","1967"
"362","'-63.755","'-22.281","1938"
"363","46.937","'-21.835","1960"
"364","46.94","'-21.83","1975"
"365","'-65.239","'-21.823","1971"
"366","48.042","'-21.741","1959"
"367","45.111","'-21.716","1959"
"368","'-63.32","'-21.71","1938"
"369","47.162","'-21.646","1975"
"370","47.59","'-21.64","1965"
"371","46.99","'-21.63","1975"
"372","'-64.73","'-21.57","1938"
"373","47.042","'-21.565","1976"
"374","'-64.731","'-21.532","1938"
"375","'-56.145","'-21.481","1974"
"376","47.08","'-21.47","1976"
"377","47.078","'-21.46","1947"
"378","47.09","'-21.46","1937"
"379","47.09","'-21.45","1948"
"380","46.616","'-21.414","1975"
"381","'-63.98","'-21.41","1937"
"382","46.93","'-21.32","1976"
"383","55.478","'-21.318","1926"
"384","30.52002","'-21.24842","1926"
"385","48.351","'-21.236","1974"
"386","46.79","'-21.23","1975"
"387","48.35","'-21.22","1947"
"388","24.88333333","'-21.18333333","1989"
"389","24.58333333","'-21.16666667","1989"
"390","43.867","'-21.127","1937"
"391","47.212","'-21.113","1974"
"392","47.21","'-21.1","1974"
"393","'-67.969","'-21.058","1938"
"394","24.41666667","'-21.05","1944"
"395","55.698","'-20.992","1926"
"396","47.16","'-20.99","1978"
"397","47.10526","'-20.96529","1982"
"398","165.61","'-20.92","1941"
"399","44.2","'-20.9","1937"
"400","46.875","'-20.871","1965"
"401","55.457","'-20.867","1905"
"402","46.95","'-20.81","1987"
"403","'-61.27","'-20.7","1945"
"404","47.06749","'-20.69703","1964"
"405","47.195","'-20.636","1961"
"406","'-40.44","'-20.63","1967"
"407","46.5","'-20.6","1976"
"408","46.633","'-20.596","1966"
"409","48.53","'-20.59","1962"
"410","46.803","'-20.554","1984"
"411","47.25","'-20.54","1927"
"412","47.243","'-20.531","1926"
"413","47.05","'-20.52","1993"
"414","47.06","'-20.52","1983"
"415","47.15","'-20.52","1981"
"416","48.176","'-20.515","1989"
"417","47.15","'-20.51","1972"
"418","'-63.28","'-20.44","1964"
"419","31.957","'-20.423","1979"
"420","47.09","'-20.4","1985"
"421","46.916","'-20.387","1974"
"422","46.92","'-20.36","1973"
"423","47.29","'-20.35","1976"
"424","57.58","'-20.34","1931"
"425","23.81666667","'-20.33333333","1944"
"426","'-64.806","'-20.323","1934"
"427","46.91","'-20.32","1981"
"428","'-40.41","'-20.27","1972"
"429","47.32","'-20.26","1963"
"430","47.371","'-20.24","1984"
"431","57.461","'-20.224","1925"
"432","26.18333333","'-20.21666667","1947"
"433","47.305","'-20.17","1970"
"434","57.5","'-20.17","1927"
"435","57.496","'-20.165","1926"
"436","46.93","'-20.12","1976"
"437","16.146","'-20.108","1999"
"438","47.18","'-20.07","1975"
"439","46.98","'-20.06","1934"
"440","'-64.15","'-20.02","1933"
"441","48.13","'-20.01","1930"
"442","'-64.49","'-19.999","1967"
"443","'-43.97","'-19.98","1928"
"444","'-65.08","'-19.97","1955"
"445","47.234","'-19.906","1978"
"446","46.81","'-19.9","1978"
"447","47.23","'-19.89","1981"
"448","47.02","'-19.88","1977"
"449","47.03","'-19.87","1979"
"450","47.031","'-19.869","1926"
"451","46.86","'-19.84","1977"
"452","48.07","'-19.84","1975"
"453","46.858","'-19.838","1961"
"454","47.22","'-19.81","1976"
"455","48.57","'-19.79","1990"
"456","48.58","'-19.78","1975"
"457","46.62","'-19.74","1977"
"458","45.363","'-19.724","1926"
"459","47.67","'-19.71","1958"
"460","47.32","'-19.666","1959"
"461","46.75781","'-19.64259","1930"
"462","47.681","'-19.637","1982"
"463","'-65.756","'-19.583","1937"
"464","48.80453","'-19.58082","1963"
"465","'-65.34","'-19.58","1938"
"466","47.359","'-19.566","1958"
"467","46.97","'-19.48","1977"
"468","'-64.487","'-19.471","1959"
"469","29.818","'-19.451","1975"
"470","48.2","'-19.43","1963"
"471","46.95","'-19.41","1958"
"472","46.85","'-19.35","1960"
"473","46.85","'-19.34","1962"
"474","'-64.306","'-19.305","1955"
"475","46.47","'-19.29","1964"
"476","'-64.27","'-19.28","1926"
"477","46.48","'-19.28","1973"
"478","'-64.27","'-19.27","1964"
"479","47.114","'-19.258","1981"
"480","46.35","'-19.21","1974"
"481","46.738","'-19.178","1960"
"482","45.846","'-19.177","1992"
"483","'-64.496","'-19.173","1933"
"484","'-41.86","'-19.17","1967"
"485","'-64.643","'-19.15","1955"
"486","46.364","'-19.127","1963"
"487","'-64.324","'-19.123","1964"
"488","46.45","'-19.12","1963"
"489","46.65","'-19.12","1977"
"490","'-61.7","'-19.11","1965"
"491","46.36","'-19.11","1970"
"492","46.37","'-19.11","1981"
"493","46.36","'-19.1","1963"
"494","46.37","'-19.1","1975"
"495","47.78","'-19.09","1970"
"496","'-65.256","'-19.042","1937"
"497","'-65.26","'-19.04","1981"
"498","47.21","'-19.04","1990"
"499","'-41.64","'-19.02","1969"
"500","47.18","'-19.016","1968"
"501","28.85559","'-19.01019","1974"
"502","29.09","'-19.01","1933"
"503","46.904","'-18.961","1931"
"504","47.57","'-18.96","1958"
"505","46.9","'-18.95","1962"
"506","48.22","'-18.95","1926"
"507","48.23","'-18.95","1976"
"508","48.24","'-18.95","1975"
"509","48.222","'-18.948","1993"
"510","47.28258","'-18.93301","1963"
"511","27.76","'-18.93","1982"
"512","46.06","'-18.93","1989"
"513","47.28","'-18.93","1963"
"514","47.54","'-18.93","1968"
"515","47.814","'-18.92","1974"
"516","48.27","'-18.92","1990"
"517","47.51666667","'-18.91666667","1921"
"518","46.98","'-18.91","1926"
"519","46.713","'-18.908","1988"
"520","47.528","'-18.908","1927"
"521","47.52","'-18.87","1987"
"522","47.92","'-18.87","1966"
"523","46.41","'-18.85","1984"
"524","'-65.796","'-18.842","1938"
"525","'-65.116","'-18.834","1934"
"526","47.13","'-18.82","1976"
"527","47.22","'-18.79","1973"
"528","46.048","'-18.773","1963"
"529","46.93","'-18.77","1932"
"530","47.75","'-18.77","1977"
"531","46.51","'-18.765","1958"
"532","47.645","'-18.746","1988"
"533","46.63","'-18.74","1969"
"534","27.76","'-18.73","1974"
"535","46.87","'-18.72","1930"
"536","'-64.183","'-18.719","1981"
"537","47.88","'-18.69","1959"
"538","48.26","'-18.69","1987"
"539","'-41.99","'-18.68","1967"
"540","47.87","'-18.67","1982"
"541","47.88","'-18.67","1975"
"542","35.07","'-18.66","1979"
"543","46.82","'-18.64","1926"
"544","'-43.381","'-18.603","1946"
"545","48.02","'-18.59","1962"
"546","48.03","'-18.59","1962"
"547","46.79","'-18.58","1963"
"548","46.83","'-18.57","1949"
"549","'-44.59","'-18.56","1969"
"550","46.83","'-18.55","1981"
"551","46.85","'-18.54","1961"
"552","46.81","'-18.53","1926"
"553","46.77","'-18.5","1928"
"554","46.82","'-18.5","1928"
"555","47.24","'-18.5","1979"
"556","'-64.107","'-18.493","1945"
"557","'-64.11","'-18.49","1960"
"558","46.76","'-18.49","1975"
"559","46.77","'-18.48","1950"
"560","46.83","'-18.47","1968"
"561","46.82","'-18.46","1926"
"562","30.891","'-18.459","1971"
"563","46.77","'-18.43","1926"
"564","'-66.559","'-18.417","1969"
"565","46.65","'-18.41","1977"
"566","47.878","'-18.405","1989"
"567","47.48","'-18.4","1962"
"568","26.5","'-18.36","1953"
"569","26.50658","'-18.34703","1974"
"570","47.118","'-18.316","1997"
"571","47.624","'-18.313","1974"
