strain	accession	date	host	region	country	location	strainDateCountry	db	authors	cluster	paper_url	title
GCA_000268705.1_ASM26870v1_genomic	GCA_268705	2010-XX-XX	Homo	South America	Peru	TBD	PY-32_2010_Peru	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_000268505.1_ASM26850v1_genomic	GCA_268505	2009-XX-XX	Homo	South America	Peru	TBD	PY-16_2009_Peru	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_000268645.1_ASM26864v1_genomic	GCA_268645	2009-XX-XX	Homo	South America	Peru	TBD	PY-15_2009_Peru	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_000268465.1_ASM26846v1_genomic	GCA_268465	2008-XX-XX	Homo	South America	Peru	TBD	PY-13_2008_Peru	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_000268625.1_ASM26862v1_genomic	GCA_268625	2008-XX-XX	Homo	South America	Peru	TBD	PY-12_2008_Peru	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_000268605.1_ASM26860v1_genomic	GCA_268605	2007-XX-XX	Homo	South America	Peru	TBD	PY-11_2007_Peru	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_000268445.1_ASM26844v1_genomic	GCA_268445	2006-XX-XX	Homo	South America	Peru	TBD	PY-10_2006_Peru	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_000268425.1_ASM26842v1_genomic	GCA_268425	2006-XX-XX	Homo	South America	Peru	TBD	PY-09_2006_Peru	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_000268405.1_ASM26840v1_genomic	GCA_268405	2006-XX-XX	Homo	South America	Peru	TBD	PY-08_2006_Peru	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_000311885.1_ASM31188v1_genomic	GCA_311885	2010-07-XX	Homo	South America	Peru	TBD	INS_2010_Peru	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_000269485.1_ASM26948v1_genomic	GCA_269485	2010-XX-XX	Didelphis	South America	Peru	TBD	PY-103_2010_Peru	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_000269225.1_ASM26922v1_genomic	GCA_269225	2010-XX-XX	Didelphis	South America	Peru	TBD	PY-102_2010_Peru	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_000269205.1_ASM26920v1_genomic	GCA_269205	2010-XX-XX	Rattus	South America	Peru	TBD	PY-100_2010_Peru	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_000269185.1_ASM26918v1_genomic	GCA_269185	2010-XX-XX	Rattus	South America	Peru	TBD	PY-99_2010_Peru	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_000269145.1_ASM26914v1_genomic	GCA_269145	2010-XX-XX	Canis	South America	Peru	TBD	PY-96_2010_Peru	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_000269445.1_ASM26944v1_genomic	GCA_269445	2010-XX-XX	Rattus	South America	Peru	TBD	PY-95_2010_Peru	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_000269425.1_ASM26942v1_genomic	GCA_269425	2010-XX-XX	Rattus	South America	Peru	TBD	PY-94_2010_Peru	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_000269125.1_ASM26912v1_genomic	GCA_269125	2010-XX-XX	Rattus	South America	Peru	TBD	PY-93_2010_Peru	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_000269105.1_ASM26910v1_genomic	GCA_269105	2010-XX-XX	Rattus	South America	Peru	TBD	PY-92_2010_Peru	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
