Name	Date
GCA_000323205.1_ASM32320v1_genomic	2005
GCA_000323225.1_ASM32322v1_genomic	2005
GCA_000323245.1_ASM32324v1_genomic	2006
GCA_003086075.1_ASM308607v1_genomic	1983
GCA_003086115.1_ASM308611v1_genomic	1988
GCA_002412305.1_Y.pestis_A-1809_genomic	1980
GCA_001613895.1_ASM161389v1_genomic	1990
GCA_003074295.1_ASM307429v1_genomic	1967
GCA_001617735.1_Yersinia_pestis_M-1763_genomic	2002
GCA_003086095.1_ASM308609v1_genomic	1993
GCA_000323565.1_ASM32356v1_genomic	1973
GCA_000323725.1_ASM32372v1_genomic	1973
